beta,mu,err_mu,sigma,err_sigma,H,err_H
1199.5,0.743277,0.0102153,0.616308,0.00859909,-0.443225,0.0059451
1201,0.743418,0.0102066,0.617045,0.00859169,-0.442962,0.00594026
1202.5,0.742986,0.0102023,0.616411,0.00858786,-0.442976,0.0059379
1204,0.743221,0.0101937,0.616763,0.00858048,-0.442968,0.00593308
1205.5,0.743461,0.0101893,0.616502,0.00857667,-0.443219,0.00593073
1207,0.743521,0.0101808,0.616478,0.00856932,-0.443225,0.00592592
1208.5,0.743431,0.0101764,0.616479,0.00856552,-0.443219,0.00592358
1210,0.743011,0.0101679,0.616319,0.00855819,-0.442982,0.0059188
1211.5,0.743355,0.0101636,0.617035,0.00855442,-0.44296,0.00591646
1213,0.743329,0.0101551,0.617397,0.00854714,-0.442943,0.00591169
1214.5,0.743431,0.0101508,0.617031,0.00854338,-0.442963,0.00590936
1216,0.743168,0.0101423,0.616512,0.00853611,-0.442978,0.0059046
1217.5,0.743024,0.010138,0.616463,0.00853236,-0.442975,0.00590228
1219,0.74314,0.0101296,0.616626,0.00852512,-0.442971,0.00589755
1220.5,0.743323,0.0101253,0.616895,0.00852139,-0.442965,0.00589523
1222,0.74312,0.0101169,0.616795,0.00851418,-0.442962,0.00589051
1223.5,0.743016,0.0101127,0.616532,0.00851046,-0.442971,0.00588821
1225,0.7428,0.0101043,0.616368,0.00850327,-0.444604,0.00588353
1226.5,0.743001,0.0101001,0.616732,0.00849957,-0.444587,0.00588127
1228,0.74331,0.0100917,0.616362,0.00849241,-0.443223,0.00587658
1229.5,0.743282,0.0100875,0.617118,0.00848872,-0.442954,0.0058743
1231,0.742928,0.0100792,0.616409,0.00848159,-0.444606,0.00586965
1232.5,0.743678,0.010075,0.617148,0.00847792,-0.441418,0.00586735
1234,0.743789,0.0100667,0.617084,0.00847082,-0.441216,0.00586266
1235.5,0.743835,0.0100625,0.617483,0.00846718,-0.439146,0.00586033
1237,0.743728,0.0100543,0.617829,0.00846012,-0.437674,0.0058556
