beta,mu,err_mu,sigma,err_sigma,H,err_H
113.5,0.776961,0.0318019,0.677868,0.0306052,-0.433492,0.0181861
115,0.77484,0.0315629,0.679473,0.0303319,-0.430677,0.0180415
116.5,0.770857,0.0314613,0.685687,0.0301985,-0.422619,0.0179718
118,0.765625,0.0312233,0.684985,0.0299388,-0.419569,0.0178249
119.5,0.769019,0.0311229,0.692359,0.0298142,-0.426557,0.0177601
121,0.767314,0.0308934,0.694938,0.0295696,-0.426938,0.0176228
122.5,0.770494,0.0307965,0.688475,0.0294475,-0.427775,0.0175607
124,0.774615,0.0305787,0.689305,0.0292088,-0.42881,0.0174291
125.5,0.769609,0.0304835,0.686181,0.0290898,-0.424758,0.0173671
127,0.776484,0.0302732,0.682641,0.0288563,-0.428666,0.0172396
128.5,0.783313,0.0301887,0.686411,0.0287418,-0.42902,0.0171819
130,0.788733,0.0299918,0.690409,0.0285202,-0.424395,0.017056
131.5,0.794659,0.0299158,0.696753,0.0284146,-0.427539,0.0169991
133,0.791987,0.0297258,0.695232,0.0282027,-0.423342,0.0168766
134.5,0.791777,0.0296493,0.693681,0.0280991,-0.432539,0.016824
136,0.788453,0.029462,0.688273,0.027891,-0.427865,0.0167076
137.5,0.781484,0.029381,0.682822,0.0277859,-0.430592,0.0166554
139,0.782916,0.0291956,0.677002,0.0275798,-0.428673,0.0165428
140.5,0.789141,0.0291204,0.673486,0.0274744,-0.429717,0.0164916
142,0.792531,0.0289448,0.680211,0.0272763,-0.437523,0.0163867
143.5,0.795943,0.0288746,0.683617,0.0271784,-0.432297,0.0163381
145,0.795281,0.0287047,0.689146,0.0269902,-0.428979,0.0162318
146.5,0.790441,0.0286328,0.686285,0.0268964,-0.421187,0.0161793
148,0.788383,0.0284634,0.687974,0.0267135,-0.428199,0.0160757
149.5,0.786667,0.0283911,0.684255,0.0266218,-0.419813,0.016024
151,0.780513,0.0282221,0.688175,0.0264445,-0.425401,0.0159222
152.5,0.781518,0.0281488,0.687775,0.0263568,-0.421666,0.0158727
154,0.778945,0.0279834,0.682483,0.0261826,-0.435388,0.015778
155.5,0.776151,0.0279093,0.679314,0.0260944,-0.432432,0.0157343
157,0.777081,0.0277472,0.676029,0.025923,-0.432029,0.0156406
158.5,0.778463,0.0276756,0.673978,0.0258356,-0.431672,0.0155976
160,0.77462,0.0275165,0.675766,0.0256691,-0.4319,0.0155062
161.5,0.770047,0.0274431,0.674771,0.0255846,-0.433441,0.0154649
163,0.774188,0.0272877,0.678627,0.0254238,-0.426394,0.0153737
164.5,0.77589,0.0272183,0.67818,0.0253427,-0.43288,0.0153332
166,0.770396,0.0270652,0.673779,0.0251848,-0.422681,0.0152429
167.5,0.770908,0.0269954,0.679683,0.0251065,-0.422784,0.0151995
169,0.775659,0.026848,0.683013,0.0249558,-0.422134,0.0151114
170.5,0.773492,0.0267806,0.683454,0.0248808,-0.427701,0.0150709
172,0.772938,0.0266357,0.677971,0.0247326,-0.42581,0.0149862
173.5,0.777713,0.0265713,0.676304,0.0246574,-0.425164,0.0149458
175,0.782713,0.0264333,0.671073,0.0245111,-0.436314,0.0148669
176.5,0.779875,0.026371,0.667425,0.0244354,-0.434822,0.0148307
178,0.781711,0.0262356,0.666164,0.0242915,-0.430097,0.0147515
179.5,0.782724,0.0261756,0.665322,0.0242173,-0.424246,0.0147125
181,0.777549,0.0260417,0.668964,0.0240779,-0.43095,0.0146354
182.5,0.782639,0.0259828,0.663558,0.0240052,-0.431084,0.0145995
184,0.781869,0.0258534,0.665138,0.0238684,-0.433104,0.0145249
185.5,0.779529,0.0257945,0.664856,0.0237979,-0.433249,0.0144905
187,0.775857,0.0256659,0.669288,0.0236656,-0.430758,0.0144167
188.5,0.771008,0.0256055,0.673354,0.023599,-0.433201,0.014383
190,0.772278,0.0254785,0.671734,0.0234706,-0.440078,0.0143139
191.5,0.767534,0.0254183,0.670453,0.023405,-0.433119,0.0142808
193,0.76298,0.0252914,0.666554,0.0232784,-0.423804,0.0142081
194.5,0.767845,0.0252325,0.665575,0.0232131,-0.428684,0.0141744
196,0.767507,0.0251096,0.665006,0.0230892,-0.43527,0.0141067
197.5,0.765648,0.0250513,0.665624,0.0230256,-0.428845,0.0140737
199,0.760654,0.0249291,0.662505,0.022904,-0.425988,0.0140048
200.5,0.763028,0.0248713,0.658694,0.0228403,-0.427065,0.013972
202,0.764557,0.0247528,0.659151,0.0227208,-0.433493,0.0139066
203.5,0.767616,0.0246974,0.657856,0.0226585,-0.433753,0.0138763
205,0.772348,0.0245835,0.657007,0.0225413,-0.435693,0.0138129
206.5,0.774664,0.0245311,0.653095,0.0224794,-0.437398,0.0137841
208,0.776054,0.0244204,0.652737,0.022364,-0.441364,0.0137236
209.5,0.774813,0.024369,0.648997,0.0223028,-0.445467,0.0136976
211,0.774085,0.02426,0.651088,0.0221897,-0.44431,0.013639
212.5,0.774506,0.0242094,0.648621,0.0221298,-0.447319,0.0136139
214,0.77274,0.0241022,0.644885,0.022018,-0.444042,0.0135563
215.5,0.772223,0.024052,0.644111,0.0219586,-0.440746,0.0135298
217,0.774992,0.0239474,0.647856,0.0218499,-0.442578,0.0134728
218.5,0.7784,0.0238996,0.648984,0.0217928,-0.443448,0.0134475
220,0.774712,0.0237969,0.648819,0.0216867,-0.44782,0.0133929
221.5,0.776657,0.0237496,0.644994,0.0216301,-0.439851,0.013367
223,0.772724,0.0236483,0.648978,0.0215262,-0.44229,0.013312
224.5,0.769315,0.0236001,0.650788,0.021472,-0.437919,0.0132861
226,0.766499,0.0234993,0.654733,0.0213714,-0.434029,0.01323
227.5,0.76316,0.0234505,0.653874,0.0213188,-0.437068,0.0132043
229,0.764672,0.0233512,0.652329,0.0212199,-0.431984,0.0131488
230.5,0.768972,0.0233046,0.652575,0.0211683,-0.433699,0.0131228
232,0.765983,0.0232074,0.648463,0.0210707,-0.433483,0.0130686
233.5,0.766438,0.0231611,0.644581,0.0210187,-0.443476,0.0130453
235,0.767023,0.0230659,0.641595,0.020922,-0.44198,0.012994
236.5,0.765392,0.0230202,0.643488,0.0208709,-0.44081,0.0129705
238,0.76608,0.0229266,0.641893,0.0207762,-0.447699,0.0129214
239.5,0.762812,0.0228811,0.639037,0.0207255,-0.4469,0.0128995
241,0.763314,0.0227886,0.637218,0.020632,-0.44271,0.0128501
242.5,0.762513,0.0227439,0.633678,0.0205815,-0.440855,0.0128273
244,0.761435,0.0226526,0.636877,0.0204897,-0.442779,0.0127786
245.5,0.76126,0.0226084,0.639048,0.0204411,-0.440288,0.012756
247,0.760591,0.0225186,0.635628,0.0203509,-0.441377,0.0127079
248.5,0.761617,0.0224753,0.635722,0.0203028,-0.441624,0.0126859
250,0.764121,0.0223877,0.632596,0.020214,-0.437428,0.0126378
251.5,0.76234,0.0223452,0.635198,0.0201667,-0.440158,0.0126158
253,0.758632,0.0222582,0.637473,0.0200803,-0.443518,0.0125697
254.5,0.761454,0.0222163,0.638812,0.0200345,-0.44316,0.0125487
256,0.761855,0.0221313,0.638056,0.0199498,-0.444959,0.0125036
257.5,0.76255,0.0220903,0.636808,0.0199045,-0.437158,0.0124816
259,0.763985,0.0220071,0.636296,0.0198212,-0.440949,0.0124365
260.5,0.761516,0.0219666,0.633948,0.0197764,-0.436969,0.0124149
262,0.759477,0.021884,0.630552,0.0196938,-0.438589,0.01237
263.5,0.760483,0.021844,0.626984,0.019649,-0.44303,0.0123498
265,0.760482,0.0217629,0.627826,0.0195676,-0.435913,0.0123051
266.5,0.759114,0.0217233,0.630215,0.019524,-0.438856,0.0122845
268,0.761724,0.0216438,0.632138,0.0194446,-0.437642,0.0122408
269.5,0.758365,0.0216047,0.633912,0.0194023,-0.444734,0.0122215
271,0.758258,0.0215259,0.631065,0.0193242,-0.436228,0.0121783
272.5,0.760681,0.0214878,0.628646,0.0192821,-0.428236,0.0121564
274,0.761122,0.0214108,0.628239,0.019205,-0.432926,0.0121133
275.5,0.761882,0.0213735,0.626826,0.0191634,-0.433982,0.0120927
277,0.762094,0.0212979,0.629691,0.0190878,-0.434473,0.0120505
278.5,0.762674,0.0212612,0.626526,0.0190469,-0.436443,0.0120306
280,0.76588,0.0211874,0.628206,0.0189725,-0.440083,0.01199
281.5,0.767018,0.0211521,0.631145,0.0189329,-0.443396,0.0119716
283,0.766878,0.0210795,0.632503,0.0188603,-0.442161,0.011932
284.5,0.768112,0.0210448,0.633387,0.0188217,-0.442434,0.0119137
286,0.766928,0.0209734,0.63283,0.0187504,-0.442144,0.0118746
287.5,0.76711,0.0209391,0.630738,0.0187121,-0.442881,0.0118566
289,0.764352,0.0208683,0.632068,0.0186419,-0.44477,0.0118185
290.5,0.765114,0.0208342,0.630168,0.0186042,-0.442088,0.0118006
292,0.768288,0.0207651,0.62953,0.0185348,-0.433692,0.0117613
293.5,0.76633,0.0207317,0.628753,0.0184976,-0.438107,0.011743
295,0.763669,0.0206629,0.62788,0.0184292,-0.438347,0.0117049
296.5,0.765755,0.0206298,0.62675,0.0183924,-0.437481,0.0116868
298,0.764966,0.0205622,0.625521,0.0183248,-0.434937,0.0116488
299.5,0.762634,0.0205292,0.627587,0.0182887,-0.434483,0.0116305
301,0.759477,0.0204618,0.626626,0.0182224,-0.440221,0.0115938
302.5,0.758713,0.0204287,0.62866,0.018187,-0.446406,0.0115775
304,0.760914,0.0203625,0.625707,0.0181216,-0.43745,0.011541
305.5,0.757918,0.0203298,0.627735,0.0180867,-0.435233,0.0115232
307,0.758541,0.0202642,0.625092,0.0180223,-0.43769,0.0114872
308.5,0.758639,0.020232,0.624142,0.0179876,-0.43737,0.01147
310,0.75758,0.0201672,0.625546,0.0179243,-0.438669,0.0114346
311.5,0.75697,0.0201353,0.622443,0.01789,-0.432339,0.0114169
313,0.754659,0.0200711,0.623771,0.0178274,-0.433938,0.0113813
314.5,0.751998,0.0200389,0.626191,0.017794,-0.436739,0.0113645
316,0.749579,0.019975,0.628334,0.0177329,-0.436703,0.0113298
317.5,0.750973,0.0199432,0.626638,0.0177001,-0.442867,0.0113141
319,0.74911,0.01988,0.623984,0.0176395,-0.440758,0.0112804
320.5,0.749744,0.0198485,0.625878,0.0176071,-0.432298,0.0112634
322,0.751183,0.0197866,0.628151,0.0175478,-0.432698,0.0112291
323.5,0.751549,0.0197557,0.628161,0.0175162,-0.437004,0.0112129
325,0.750361,0.0196945,0.626391,0.0174576,-0.437198,0.0111797
326.5,0.747489,0.0196636,0.627174,0.0174263,-0.436832,0.0111637
328,0.748344,0.019603,0.625718,0.0173686,-0.435856,0.0111307
329.5,0.750458,0.0195729,0.625278,0.0173376,-0.43975,0.0111153
331,0.750862,0.0195134,0.626974,0.0172808,-0.441123,0.0110834
332.5,0.750244,0.0194837,0.626095,0.0172504,-0.438637,0.0110681
334,0.752869,0.0194252,0.626898,0.0171944,-0.439383,0.0110364
335.5,0.754847,0.0193964,0.629435,0.0171647,-0.438751,0.0110212
337,0.756574,0.0193392,0.629156,0.0171097,-0.439877,0.01099
338.5,0.756077,0.0193109,0.62857,0.0170804,-0.439484,0.0109751
340,0.756947,0.0192545,0.629326,0.0170263,-0.439917,0.0109443
341.5,0.759588,0.019227,0.627248,0.0169973,-0.434448,0.010929
343,0.759486,0.0191716,0.624466,0.0169434,-0.442039,0.0108988
344.5,0.760448,0.0191446,0.622262,0.0169144,-0.442734,0.0108847
346,0.760311,0.01909,0.620892,0.016861,-0.439905,0.0108545
347.5,0.75755,0.0190629,0.618814,0.016832,-0.439248,0.0108402
349,0.756116,0.0190086,0.616418,0.016779,-0.43303,0.0108096
350.5,0.755021,0.0189816,0.616209,0.0167502,-0.435578,0.010795
352,0.755581,0.0189278,0.613617,0.0166977,-0.435148,0.0107651
353.5,0.757395,0.0189015,0.6131,0.0166691,-0.435414,0.0107506
355,0.760153,0.0188489,0.61409,0.0166173,-0.437018,0.0107213
356.5,0.762807,0.0188235,0.614044,0.0165892,-0.43404,0.0107068
358,0.763005,0.0187718,0.616425,0.0165383,-0.434606,0.0106776
359.5,0.762907,0.0187467,0.613849,0.0165106,-0.434338,0.0106633
361,0.764765,0.0186959,0.611737,0.01646,-0.432782,0.0106342
362.5,0.763889,0.0186712,0.613285,0.0164326,-0.439569,0.0106207
364,0.766436,0.0186212,0.615679,0.016383,-0.441406,0.0105929
365.5,0.766525,0.0185971,0.616249,0.0163563,-0.442191,0.0105799
367,0.764165,0.0185474,0.613761,0.0163072,-0.439376,0.0105522
368.5,0.765921,0.0185235,0.614837,0.0162807,-0.436779,0.0105387
370,0.764848,0.0184745,0.61594,0.0162325,-0.442152,0.0105116
371.5,0.766898,0.0184509,0.613913,0.0162062,-0.441377,0.0104988
373,0.765627,0.0184026,0.613722,0.0161584,-0.443356,0.0104721
374.5,0.763303,0.018379,0.611525,0.0161324,-0.440864,0.0104593
376,0.760903,0.0183307,0.610655,0.016085,-0.441418,0.0104328
377.5,0.761485,0.0183071,0.611536,0.0160593,-0.435235,0.0104196
379,0.759278,0.0182593,0.613542,0.0160127,-0.433303,0.0103925
380.5,0.75791,0.0182356,0.615574,0.0159877,-0.434458,0.0103793
382,0.759159,0.0181883,0.614089,0.0159417,-0.434609,0.0103527
383.5,0.75709,0.0181649,0.614176,0.0159169,-0.437402,0.01034
385,0.75836,0.018118,0.613995,0.0158715,-0.441126,0.0103143
386.5,0.758986,0.018095,0.615099,0.0158471,-0.431627,0.0103011
388,0.761097,0.018049,0.613151,0.0158023,-0.4356,0.0102752
389.5,0.76084,0.0180264,0.613665,0.015778,-0.433381,0.0102624
391,0.758452,0.0179807,0.612724,0.0157337,-0.435439,0.0102367
392.5,0.758872,0.0179582,0.61085,0.0157096,-0.431079,0.0102238
394,0.757998,0.0179129,0.612147,0.0156658,-0.430826,0.0101979
395.5,0.756416,0.0178904,0.613464,0.0156422,-0.436457,0.0101857
397,0.757672,0.0178456,0.614432,0.0155991,-0.437381,0.0101608
398.5,0.759972,0.0178237,0.615668,0.0155759,-0.437904,0.0101488
400,0.75771,0.0177794,0.614896,0.0155333,-0.437364,0.0101242
401.5,0.756564,0.0177574,0.615898,0.0155105,-0.434915,0.010112
403,0.757757,0.0177136,0.617746,0.0154687,-0.436362,0.0100875
404.5,0.758388,0.017692,0.617784,0.0154462,-0.435801,0.0100756
406,0.756612,0.0176486,0.618247,0.0154049,-0.434597,0.0100512
407.5,0.758634,0.0176273,0.617624,0.0153828,-0.43874,0.0100397
409,0.757756,0.0175845,0.618425,0.015342,-0.437226,0.0100158
410.5,0.758847,0.0175634,0.617816,0.0153201,-0.438758,0.0100044
412,0.758506,0.0175211,0.620146,0.0152799,-0.434306,0.00998055
413.5,0.756968,0.0175001,0.620838,0.0152585,-0.431312,0.0099686
415,0.757618,0.0174581,0.623018,0.015219,-0.437855,0.00994528
416.5,0.755319,0.0174372,0.620881,0.0151978,-0.437101,0.00993397
418,0.757309,0.0173957,0.618745,0.0151584,-0.434617,0.0099106
419.5,0.75717,0.0173752,0.617238,0.0151373,-0.434746,0.0098992
421,0.75725,0.0173341,0.617464,0.0150983,-0.434752,0.00987608
422.5,0.756153,0.0173137,0.618832,0.0150775,-0.434894,0.00986481
424,0.756534,0.017273,0.618636,0.015039,-0.434077,0.00984188
425.5,0.756571,0.0172528,0.619071,0.0150185,-0.434122,0.00983066
427,0.758175,0.0172127,0.618682,0.0149805,-0.433302,0.0098079
428.5,0.756814,0.0171927,0.61714,0.0149601,-0.43831,0.00979715
430,0.755238,0.0171528,0.616887,0.0149223,-0.435585,0.00977481
431.5,0.757184,0.0171331,0.618568,0.0149022,-0.434617,0.00976385
433,0.758916,0.0170938,0.619134,0.0148651,-0.433272,0.00974155
434.5,0.758372,0.0170744,0.621433,0.0148454,-0.437589,0.00973096
436,0.756745,0.0170354,0.623076,0.0148089,-0.439636,0.00970941
437.5,0.757995,0.0170162,0.622826,0.0147896,-0.442707,0.00969935
439,0.758668,0.0169777,0.624639,0.0147536,-0.436391,0.00967774
440.5,0.760104,0.0169588,0.626129,0.0147347,-0.443011,0.0096678
442,0.759859,0.0169208,0.624597,0.0146991,-0.442067,0.00964687
443.5,0.760125,0.0169021,0.624497,0.0146803,-0.440146,0.00963678
445,0.75914,0.0168645,0.624608,0.0146451,-0.442175,0.00961607
446.5,0.760063,0.016846,0.624878,0.0146265,-0.437827,0.00960588
448,0.760051,0.0168087,0.626465,0.0145918,-0.43924,0.00958512
449.5,0.759102,0.0167904,0.625117,0.0145734,-0.436209,0.0095749
451,0.759501,0.0167535,0.624964,0.014539,-0.440372,0.00955444
452.5,0.760231,0.0167353,0.624345,0.0145207,-0.442618,0.00954483
454,0.761051,0.0166989,0.622705,0.0144865,-0.440317,0.00952455
455.5,0.760834,0.016681,0.622252,0.0144684,-0.441716,0.00951495
457,0.759254,0.0166448,0.623968,0.0144346,-0.441955,0.009495
458.5,0.761115,0.0166271,0.622715,0.0144167,-0.442075,0.00948551
460,0.759735,0.0165913,0.62458,0.0143833,-0.442056,0.00946575
461.5,0.759507,0.0165736,0.62408,0.0143656,-0.441975,0.00945634
463,0.759376,0.0165381,0.624608,0.0143326,-0.44202,0.00943676
464.5,0.759677,0.0165206,0.624506,0.0143151,-0.442055,0.00942744
466,0.759976,0.0164855,0.622391,0.0142823,-0.441917,0.00940803
467.5,0.761573,0.0164683,0.623466,0.014265,-0.432156,0.00939805
469,0.760439,0.0164336,0.624514,0.0142326,-0.43668,0.00937842
470.5,0.762118,0.0164166,0.625844,0.0142156,-0.436641,0.00936887
472,0.763061,0.0163823,0.624042,0.0141835,-0.436092,0.00934938
473.5,0.762026,0.0163655,0.623755,0.0141666,-0.436289,0.00933988
475,0.760166,0.0163314,0.623528,0.0141348,-0.442113,0.00932102
476.5,0.760835,0.0163146,0.621794,0.0141179,-0.440159,0.00931189
478,0.761174,0.0162809,0.621373,0.0140863,-0.443122,0.00929327
479.5,0.760131,0.0162642,0.622112,0.0140696,-0.440542,0.00928425
481,0.760425,0.0162308,0.621256,0.0140383,-0.440027,0.00926557
482.5,0.761803,0.0162144,0.621085,0.0140218,-0.437138,0.00925638
484,0.762174,0.0161813,0.62077,0.0139908,-0.435301,0.00923754
485.5,0.761084,0.016165,0.622311,0.0139744,-0.440167,0.00922864
487,0.759385,0.0161321,0.623966,0.0139439,-0.441964,0.00921044
488.5,0.759011,0.0161158,0.623355,0.0139278,-0.441669,0.00920173
490,0.758455,0.0160831,0.621985,0.0138975,-0.441088,0.00918362
491.5,0.758534,0.016067,0.622642,0.0138815,-0.438713,0.00917478
493,0.756997,0.0160344,0.623115,0.0138515,-0.437007,0.00915654
494.5,0.757842,0.0160184,0.623722,0.0138357,-0.437098,0.00914766
496,0.75695,0.0159862,0.624941,0.0138061,-0.439505,0.00912976
497.5,0.757311,0.0159702,0.623916,0.0137905,-0.438112,0.00912103
499,0.756292,0.0159382,0.623819,0.0137612,-0.43586,0.00910303
500.5,0.754344,0.0159222,0.623281,0.0137457,-0.441064,0.00909458
502,0.755509,0.0158905,0.621617,0.0137165,-0.440161,0.00907703
503.5,0.754648,0.0158747,0.623008,0.0137011,-0.441109,0.00906865
505,0.755331,0.0158432,0.622633,0.0136722,-0.441832,0.00905136
506.5,0.755509,0.0158276,0.621802,0.013657,-0.440171,0.00904299
508,0.754653,0.0157964,0.623247,0.0136284,-0.4411,0.0090258
509.5,0.754875,0.0157808,0.622019,0.0136133,-0.441623,0.00901759
511,0.755001,0.0157499,0.621373,0.0135849,-0.441854,0.00900059
512.5,0.754837,0.0157345,0.62028,0.0135698,-0.440433,0.00899237
514,0.753577,0.0157037,0.6196,0.0135416,-0.439797,0.00897539
515.5,0.752358,0.0156883,0.618833,0.0135266,-0.439033,0.00896714
517,0.750509,0.0156576,0.617777,0.0134985,-0.438014,0.00895018
518.5,0.752015,0.0156423,0.615968,0.0134836,-0.433861,0.00894167
520,0.750324,0.0156119,0.614495,0.0134556,-0.433365,0.00892457
521.5,0.749701,0.0155966,0.613361,0.0134406,-0.436318,0.00891629
523,0.75069,0.0155665,0.614206,0.0134129,-0.432433,0.00889927
524.5,0.752235,0.0155515,0.612426,0.013398,-0.42911,0.00889062
526,0.751182,0.0155216,0.612045,0.0133704,-0.435443,0.00887393
527.5,0.751244,0.0155067,0.611772,0.0133556,-0.435088,0.00886572
529,0.7518,0.0154771,0.612157,0.0133283,-0.433616,0.00884906
530.5,0.7508,0.0154623,0.611785,0.0133137,-0.436063,0.00884097
532,0.749046,0.0154329,0.612333,0.0132866,-0.434193,0.00882448
533.5,0.749495,0.015418,0.611278,0.0132721,-0.433509,0.00881631
535,0.748797,0.0153888,0.611841,0.0132452,-0.434193,0.00879996
536.5,0.747348,0.015374,0.613509,0.013231,-0.437811,0.00879211
538,0.746458,0.015345,0.613955,0.0132045,-0.436106,0.00877601
539.5,0.7464,0.0153302,0.614847,0.0131904,-0.441749,0.00876846
541,0.747939,0.0153015,0.613097,0.0131641,-0.43973,0.0087527
542.5,0.748569,0.015287,0.613914,0.0131501,-0.439314,0.00874507
544,0.74932,0.0152586,0.614004,0.013124,-0.437539,0.00872931
545.5,0.750338,0.0152443,0.614889,0.0131102,-0.433342,0.00872138
547,0.749035,0.0152161,0.615829,0.0130845,-0.435809,0.00870565
548.5,0.750748,0.015202,0.616955,0.0130709,-0.437723,0.00869804
550,0.749839,0.015174,0.617085,0.0130455,-0.43681,0.00868249
551.5,0.748854,0.0151599,0.616118,0.0130319,-0.434288,0.00867474
553,0.747346,0.0151321,0.614608,0.0130066,-0.437662,0.00865937
554.5,0.74752,0.015118,0.614501,0.0129931,-0.436266,0.0086518
556,0.747973,0.0150904,0.61478,0.012968,-0.436576,0.00863648
557.5,0.749078,0.0150766,0.615282,0.0129547,-0.4363,0.00862897
559,0.747543,0.0150492,0.615241,0.0129299,-0.441245,0.00861404
560.5,0.746218,0.0150353,0.615802,0.0129167,-0.441307,0.00860687
562,0.746437,0.0150081,0.614704,0.012892,-0.441754,0.00859209
563.5,0.745228,0.0149942,0.615391,0.0128789,-0.441265,0.00858497
565,0.74413,0.0149671,0.614226,0.0128544,-0.439637,0.00857018
566.5,0.745786,0.0149534,0.615981,0.0128415,-0.438095,0.00856293
568,0.74582,0.0149266,0.615909,0.0128173,-0.438098,0.00854817
569.5,0.747266,0.0149131,0.615088,0.0128044,-0.441242,0.00854116
571,0.748094,0.0148867,0.616257,0.0127805,-0.441667,0.0085267
572.5,0.747424,0.0148733,0.615258,0.0127677,-0.441236,0.00851974
574,0.747584,0.014847,0.61687,0.0127439,-0.440382,0.00850533
575.5,0.748021,0.0148337,0.617195,0.0127314,-0.438105,0.00849824
577,0.746328,0.0148076,0.615479,0.0127078,-0.437314,0.00848377
578.5,0.744945,0.0147943,0.614051,0.0126952,-0.439534,0.00847682
580,0.746584,0.0147684,0.614434,0.0126717,-0.439706,0.00846258
581.5,0.747646,0.0147553,0.613369,0.0126592,-0.440562,0.00845573
583,0.748461,0.0147297,0.614477,0.0126359,-0.439227,0.00844158
584.5,0.749432,0.0147168,0.613836,0.0126236,-0.437726,0.00843463
586,0.74854,0.0146914,0.613512,0.0126004,-0.439041,0.00842057
587.5,0.749068,0.0146786,0.614906,0.0125882,-0.437429,0.00841366
589,0.747988,0.0146533,0.614861,0.0125653,-0.437833,0.00839964
590.5,0.746444,0.0146405,0.616127,0.0125532,-0.434242,0.00839262
592,0.745895,0.0146154,0.615362,0.0125306,-0.437394,0.00837868
593.5,0.744638,0.0146026,0.616291,0.0125186,-0.437083,0.00837185
595,0.743115,0.0145775,0.616513,0.0124962,-0.442976,0.00835831
596.5,0.743336,0.0145647,0.616279,0.0124843,-0.443231,0.00835185
598,0.74304,0.0145398,0.616811,0.012462,-0.442959,0.00833841
599.5,0.744213,0.0145272,0.617538,0.0124503,-0.44216,0.00833194
601,0.743111,0.0145024,0.617453,0.0124283,-0.437423,0.00831831
602.5,0.744678,0.0144899,0.619096,0.0124167,-0.441137,0.00831183
604,0.745258,0.0144655,0.61766,0.0123949,-0.442573,0.00829856
605.5,0.744376,0.0144531,0.618735,0.0123834,-0.440149,0.00829207
607,0.745004,0.0144288,0.619259,0.0123618,-0.442215,0.00827888
608.5,0.744911,0.0144165,0.619699,0.0123504,-0.442485,0.00827255
610,0.746448,0.0143925,0.619216,0.0123289,-0.439079,0.0082593
611.5,0.747936,0.0143805,0.619886,0.0123177,-0.437533,0.00825277
613,0.74887,0.0143567,0.621181,0.0122965,-0.434829,0.0082394
614.5,0.750014,0.0143449,0.620293,0.0122853,-0.437503,0.00823292
616,0.74943,0.0143213,0.621459,0.0122643,-0.439917,0.00821989
617.5,0.749311,0.0143095,0.621418,0.0122533,-0.441212,0.00821364
619,0.749385,0.0142862,0.620807,0.0122324,-0.441124,0.00820076
620.5,0.748166,0.0142744,0.619889,0.0122214,-0.43809,0.00819439
622,0.747011,0.0142511,0.618644,0.0122006,-0.436331,0.00818138
623.5,0.748258,0.0142394,0.617975,0.0121896,-0.43629,0.00817497
625,0.749482,0.0142164,0.617931,0.0121689,-0.437811,0.00816212
626.5,0.749811,0.0142048,0.616915,0.012158,-0.436804,0.00815578
628,0.750035,0.014182,0.61757,0.0121374,-0.435885,0.00814292
629.5,0.750145,0.0141706,0.61823,0.0121266,-0.442247,0.00813689
631,0.750732,0.014148,0.618277,0.0121063,-0.442264,0.00812443
632.5,0.749868,0.0141366,0.617293,0.0120955,-0.436145,0.00811815
634,0.751188,0.0141142,0.616732,0.0120752,-0.435916,0.00810547
635.5,0.749807,0.0141029,0.616835,0.0120646,-0.436803,0.00809926
637,0.750334,0.0140806,0.617494,0.0120445,-0.437672,0.00808676
638.5,0.749124,0.0140693,0.616413,0.0120338,-0.442055,0.00808084
640,0.748806,0.0140471,0.616101,0.0120138,-0.442822,0.00806866
641.5,0.747857,0.0140359,0.615652,0.0120033,-0.441709,0.00806276
643,0.749234,0.0140138,0.614435,0.0119834,-0.437489,0.00805041
644.5,0.748067,0.0140027,0.614693,0.0119728,-0.439236,0.00804444
646,0.748551,0.0139808,0.614061,0.0119531,-0.439292,0.00803226
647.5,0.747939,0.0139697,0.614564,0.0119426,-0.439231,0.00802633
649,0.74727,0.0139479,0.61463,0.011923,-0.437655,0.00801415
650.5,0.746145,0.0139368,0.61497,0.0119126,-0.434344,0.00800804
652,0.746496,0.0139151,0.614772,0.0118932,-0.441755,0.00799614
653.5,0.745203,0.0139041,0.614472,0.0118829,-0.438356,0.00799025
655,0.745399,0.0138825,0.615606,0.0118636,-0.438277,0.00797826
656.5,0.746609,0.0138717,0.61474,0.0118534,-0.439686,0.00797247
658,0.74697,0.0138503,0.613686,0.0118342,-0.438908,0.00796059
659.5,0.746635,0.0138395,0.614862,0.011824,-0.439679,0.00795484
661,0.74814,0.0138183,0.61442,0.011805,-0.437344,0.00794297
662.5,0.748809,0.0138077,0.614685,0.0117949,-0.437423,0.00793716
664,0.748601,0.0137866,0.613232,0.011776,-0.437791,0.00792539
665.5,0.747208,0.013776,0.613085,0.0117659,-0.437817,0.00791963
667,0.747797,0.0137551,0.614323,0.0117471,-0.43923,0.007908
668.5,0.749241,0.0137446,0.613986,0.0117372,-0.437532,0.00790226
670,0.749449,0.0137239,0.61366,0.0117185,-0.437736,0.00789065
671.5,0.74843,0.0137135,0.614182,0.0117087,-0.439263,0.00788502
673,0.747949,0.0136929,0.614553,0.0116901,-0.439232,0.00787355
674.5,0.748339,0.0136825,0.613936,0.0116804,-0.439287,0.00786796
676,0.748491,0.013662,0.614476,0.011662,-0.43923,0.00785656
677.5,0.748273,0.0136517,0.613719,0.0116522,-0.439428,0.00785101
679,0.747868,0.0136314,0.614324,0.011634,-0.439237,0.00783969
680.5,0.747794,0.0136211,0.61573,0.0116244,-0.441697,0.00783427
682,0.748955,0.013601,0.616148,0.0116063,-0.442073,0.00782314
