x,y,z
-2.79543,0.962397,1.45135
-3.84955,-0.333847,1.78062
-2.89599,-0.270798,1.08745
-3.99469,1.28794,1.87428
-2.53294,1.82814,2.38441
-3.0771,-0.146732,3.77739
-3.36089,-0.890883,2.57578
-4.47773,-3.36691,1.73088
-3.5073,-5.0177,5.6607
-4.01637,-3.14713,6.01335
-5.47548,-2.87762,6.29323
-6.28877,-1.66754,5.01288
-4.76063,-0.684785,5.26926
-2.44187,-2.2076,4.06613
-0.294262,-2.01944,4.44109
0.6736,-0.611322,2.95015
0.389152,-0.927155,5.26524
0.836055,1.52591,4.43566
1.25164,0.562755,4.51651
0.615149,1.12282,5.20188
1.29175,-0.772094,5.48994
2.19036,0.00683527,3.7697
1.73296,0.180154,1.87392
2.30688,-2.04887,-2.18658
4.22267,-2.34238,-4.92686
4.04975,-4.78852,-2.85814
4.22866,-5.23966,-7.5975
3.95305,-6.75831,-7.31723
3.81457,-6.97005,-2.22213
4.21358,-6.18056,-2.79675
4.12928,-6.02426,-3.94913
2.80629,-5.71939,-4.39425
3.59677,-5.88378,-3.46766
5.45283,-5.53707,-2.58323
10.52,-3.93036,-2.22185
8.12951,-4.5,-2.50968
9.34024,0.151531,-2.01805
5.31783,-1.81562,-0.205976
7.626,-2.57307,-1.13564
8.43106,-2.90029,-1.96095
7.03593,-4.54195,-5.90841
7.77758,-3.57827,-3.99873
7.11307,-3.36347,-3.93568
6.82921,-4.70538,-2.48593
5.03179,-3.46547,-3.30585
2.52918,-2.93274,-1.06812
-0.171048,-2.67937,-0.483138
0.506486,-2.2374,-3.35603
-0.160942,-2.20215,-4.37607
-0.0974607,-0.70135,-3.86757
-0.057476,-1.03968,-2.23547
-0.571018,-1.82706,-2.99372
0.303035,0.418199,-2.16172
-0.569758,-0.209681,-1.61976
-2.06217,-0.363776,-2.54597
-1.94161,-1.72285,1.97478
0.469596,-0.567989,3.87014
-0.015609,-1.64241,5.20404
-0.42384,-0.524102,3.19363
1.64366,-2.04849,3.35208
1.78769,-1.15036,2.51506
1.16709,-0.588831,2.57503
2.50712,1.69407,2.74628
-0.788004,-2.64309,3.65342
0.395594,-2.48214,2.91521
1.33463,-0.924629,4.65885
1.58518,2.29574,4.64097
3.10214,0.721549,4.96839
4.53011,1.304,8.04146
7.17874,0.580965,4.31028
7.83287,0.180555,4.64357
7.95852,0.182666,2.42307
9.64852,-0.0223155,5.07002
5.89184,1.81795,0.849076
6.68958,-1.90254,-0.967025
6.74265,0.266574,0.75504
4.42297,2.53775,3.02791
4.96686,-0.197485,1.67
4.48575,0.187464,2.3617
3.47708,3.04465,2.00994
3.29026,1.60059,3.0552
2.90434,-1.37064,3.26607
1.25466,-2.42022,5.24611
3.34745,-0.347324,4.0116
2.28003,0.422603,4.76515
1.6236,1.8197,5.02149
2.9168,2.05227,1.68214
-0.0966308,2.68679,1.48844
-0.0625555,2.09053,-0.548818
1.89245,0.222313,-2.11971
-2.0784,-1.20841,-3.49751
-2.96195,-1.86037,-1.7354
-2.22348,-2.54103,-2.84549
0.619827,-4.54292,-4.32992
0.181374,-1.62405,-4.82238
-0.672347,-3.32253,-2.12764
-0.0276576,0.911399,-2.36408
-1.12249,1.02016,-1.66236
-1.4539,-0.821042,-0.653197
-5.0963,-1.85713,-1.87199
-4.36305,-3.80615,-4.6615
-6.60865,-2.04179,-7.33212
-3.80613,1.33304,-5.61381
-2.66138,1.89582,-4.33571
-3.84453,0.374808,-6.19784
-4.70437,1.16051,-7.48465
-5.41559,1.7468,-5.42825
-3.14048,-0.459489,-7.64081
-3.27626,-2.27554,-5.57362
-3.39462,-2.31295,-3.96587
-4.14627,-1.11625,-3.8905
-3.46521,1.39153,-4.72397
-0.445044,-0.490425,-3.23962
0.602206,-1.32512,-2.93313
-1.81547,0.734042,-1.86154
0.615739,0.18257,-1.424
0.93522,0.288893,-2.69059
-1.89441,-2.36202,-1.78259
-2.27622,-2.65586,-2.98485
-3.52203,-0.160862,-5.85753
-2.28739,-0.349624,-5.45603
-4.00887,0.228496,-4.10147
-4.20942,1.16548,-1.52919
-2.58796,1.47884,-2.32648
-2.37379,1.76599,-3.76555
-1.49316,2.15371,-3.55796
-2.05282,-2.05311,-4.596
1.0876,-3.61647,-1.00593
0.889878,-2.95178,-1.47386
-0.921158,-1.98992,-1.87638
-1.04777,-3.44393,-2.82579
-2.07092,-2.3894,-4.17482
-2.30233,0.503688,-4.32335
-1.47951,-1.14663,-5.98957
0.493834,-4.27053,-6.31638
-1.62974,-3.60599,-1.88942
-0.856737,-3.00773,-3.14609
1.36276,-1.34266,-6.09084
0.391631,-1.46487,-5.73661
0.650782,-1.65803,-6.20018
-0.669413,-2.6808,-4.82129
-2.41656,-3.04813,-5.19954
-2.56842,-3.20481,-4.88532
-0.899144,-1.8741,-5.09172
-0.338525,-2.94373,-6.45559
-1.83505,-2.50131,-6.35199
-1.30924,0.513347,-5.72048
-3.64596,-1.69985,-5.50214
-6.24633,-2.25465,-5.19342
-6.72077,-4.35944,-4.42058
-4.23412,-3.26043,-5.36739
-5.69119,-5.0922,-6.40323
-4.91731,-4.61314,-6.51791
-5.79516,-4.59363,-3.2976
-4.34929,-2.91074,-2.31764
-2.50231,-4.39467,-3.39841
-2.06169,-0.76457,-5.43081
-0.75447,1.66417,-5.80551
-0.785925,0.935472,-6.97088
-2.30917,1.15594,-8.64242
-5.88463,-0.536451,-9.55537
-4.15909,0.139627,-8.32613
-1.9845,0.54878,-7.22156
-1.63026,3.23449,-6.47995
-2.10377,4.48447,-7.21008
-3.19608,2.61875,-7.36332
-5.25551,1.78272,-6.04797
-4.33053,2.71459,-3.63279
-2.10581,3.83678,-2.77215
-2.66472,1.72723,-2.41111
-0.510505,-0.558125,-1.56131
-0.185073,-0.621723,2.49282
0.0428484,0.168599,2.85106
-0.512324,-1.88612,3.07804
0.282953,-2.99083,0.944335
-1.17207,-4.44814,3.09582
-0.761369,-1.11285,1.65555
-1.19718,0.0516671,3.46842
-0.0936395,1.50739,2.07307
0.132037,0.620622,1.28411
-0.300825,-0.245746,0.452188
-1.04918,-1.21571,1.27331
-1.5836,0.490206,3.23699
0.932847,1.53556,3.25676
-0.139812,0.0306787,5.28527
-1.60294,-0.166273,5.47393
-0.0644595,-0.610158,4.14937
1.3624,0.430757,1.83634
-1.60286,0.794578,2.83177
-2.44692,0.222774,5.47587
-2.69517,0.308629,6.29977
-3.16273,1.39314,5.46491
-1.85802,-0.243882,4.9825
-1.71077,0.284577,3.03386
-3.38003,-0.292251,4.68971
-3.00033,-0.73524,3.26475
-2.65093,0.542196,1.5861
-3.72963,-0.0969,4.06614
-1.96808,-0.910015,2.00346
-1.63409,-0.52669,1.85964
-0.533527,-1.03123,4.26242
0.419194,-1.68162,5.26157
0.228202,-2.49031,1.49762
-1.58158,-3.16351,4.54353
-0.846948,-2.90304,5.16002
-3.59744,-4.59528,2.76846
-4.21881,-5.25218,4.42054
-3.52237,-4.48644,4.59308
-2.91417,-5.56512,5.02886
-3.13956,-6.49007,4.06308
-1.76666,-7.72227,4.77193
1.30705,-8.55915,2.77913
2.9835,-7.52241,2.42701
1.02183,-8.70173,4.77519
0.398103,-7.86545,3.12257
-1.11831,-6.70423,4.42465
0.256852,-5.37258,5.62648
0.103253,-4.03252,3.75975
0.744787,-4.03532,2.65749
0.394491,-2.35237,4.52795
1.36433,-3.80981,3.24322
1.20787,-2.40824,2.81335
0.192072,-1.73926,3.67423
0.920745,-0.182597,3.76097
1.68926,-0.92919,2.07431
3.70757,0.613784,2.08894
4.60874,-0.468003,2.38722
3.78967,-0.781871,3.66986
3.30128,2.63184,2.87886
2.40035,0.281184,3.05465
0.704011,1.93898,3.46063
1.76199,1.2313,1.9327
1.96295,-1.01118,-1.17395
-1.03334,-0.933568,4.51767
-0.854179,1.06844,3.72225
-3.36396,1.2973,5.39013
-3.4476,2.06078,3.84744
-3.47939,-0.0205501,7.35191
-5.17325,0.680198,5.20275
-3.65598,1.40897,1.27952
-4.87877,-0.589728,1.44294
-5.7182,1.16641,2.83854
-4.54675,3.26815,3.09357
-4.76704,2.29285,5.50258
-3.6237,0.0512496,3.79558
-2.82289,1.92442,2.02577
-0.264914,1.53522,3.23608
-0.351,3.35061,1.97835
-1.46372,0.682254,2.4947
-2.24303,2.77358,3.25151
-1.78638,3.32009,1.27795
2.80211,4.12625,4.12946
3.19122,3.8445,2.14816
5.6321,2.85376,1.82847
4.99023,3.80576,-1.53325
6.09483,2.79699,-2.49737
5.42245,1.72152,-4.80099
5.19243,0.573705,-5.3754
5.80912,0.393653,-5.02505
6.01938,-1.55199,-3.89318
6.02286,-0.955947,-6.3224
5.76191,-2.85668,-6.48391
5.05093,-3.3982,-4.33722
4.62285,-4.43697,-7.08331
4.34689,-4.57985,-8.51428
5.29037,-3.13887,-7.97577
5.33655,-2.39027,-2.89298
4.85913,-0.934448,-2.23313
2.03283,-1.95057,-3.00965
0.350824,-1.46541,-1.4707
0.675575,-1.10699,-1.34763
-0.155622,-2.77119,2.27881
0.409428,-2.03034,4.02251
3.09938,-3.65778,2.84181
4.31799,-5.46657,4.72398
3.57644,-6.24997,3.98176
4.34793,-4.97062,4.95472
4.80448,-5.21391,6.71004
2.24465,-7.68661,6.43595
-0.503235,-6.7206,5.98637
3.16888,-5.83764,6.11429
0.982982,-3.30847,2.41484
-0.0381425,0.471974,1.47048
0.718641,-0.373877,0.976868
0.514022,0.151506,0.606445
-0.476236,0.365861,0.601683
0.580844,1.06618,0.77623
0.716708,0.276471,-0.640688
-0.409083,-0.075891,-1.33549
-0.445366,-0.757677,3.19476
-1.90023,-0.193283,2.60245
-3.93781,2.13371,3.19798
-2.61768,0.481777,1.08138
-2.53501,0.472334,0.825288
-0.57895,2.22228,2.77663
1.28225,0.698631,4.78352
2.23063,-1.66523,3.89464
1.70227,-1.9924,3.24024
0.612125,-0.0543143,3.46951
-0.142494,-2.31395,4.89045
-0.951003,0.742153,6.6707
0.995573,0.446968,5.96964
3.02633,1.16028,3.22958
1.07024,-0.746477,1.49771
0.263206,-2.74501,4.61938
-0.794566,-1.45396,3.83273
0.0382365,0.24352,2.30689
2.41951,-0.208163,1.87764
1.40226,-0.34816,3.37352
1.89034,-0.662075,2.208
0.574005,-1.15857,2.63279
2.96103,-0.698193,1.68003
1.6307,-1.06269,-0.524826
3.18053,-1.96491,-2.07533
3.85265,-1.20457,-5.25256
2.42098,-3.34833,-5.68274
2.34396,-4.58385,-5.49903
2.21344,-5.97527,-3.6552
2.44674,-6.56444,-2.20817
1.68698,-5.38601,-2.64629
3.06254,-3.55932,-3.39758
-0.353981,0.162431,-1.37872
0.937116,1.23547,-2.52846
-0.0926338,2.84976,-3.59641
0.793064,3.29368,-3.38248
0.356897,1.96493,-2.50335
0.175786,3.78619,-2.28176
1.83913,1.54416,-1.87126
2.40393,-1.52173,-2.78057
1.19661,0.110979,-1.18359
0.628345,2.43808,-2.95833
-0.334976,3.13999,-4.18003
0.215442,2.04361,-3.95434
1.55583,1.60011,-4.29492
-0.148109,-1.85838,-4.15094
0.750656,-0.504886,-5.38746
0.563673,-0.0383465,-4.70706
0.893958,-1.22311,-4.04906
