sum,mean,err
2.45219,1.9903,0.0790244
2.01947,1.99044,0.0786473
2.01947,1.99057,0.0782738
1.06162,1.98619,0.0780269
1.06162,1.98185,0.0777809
1.06162,1.97755,0.0775359
1.01939,1.9731,0.077303
0.399065,1.96581,0.0772886
0.399065,1.95859,0.0772696
0.399065,1.95143,0.0772464
0.399065,1.94435,0.0772189
1.76369,1.94352,0.0768714
1.03213,1.9394,0.0766339
1.03213,1.93531,0.0763973
1.03213,1.93126,0.0761617
1.03213,1.92725,0.0759271
1.03213,1.92327,0.0756935
1.26661,1.92037,0.0754138
0.525719,1.91422,0.0753318
0.525719,1.90813,0.0752475
0.790719,1.90325,0.075077
0.848784,1.89867,0.0748903
0.848784,1.89412,0.0747038
0.248444,1.88703,0.0747185
0.382066,1.88057,0.074677
0.382066,1.87417,0.0746325
0.382066,1.86782,0.0745849
0.382066,1.86152,0.0745346
0.366452,1.85521,0.074487
0.593166,1.84991,0.0743627
0.593166,1.84465,0.0742374
0.593166,1.83944,0.0741111
0.593166,1.83427,0.0739839
0.937984,1.83056,0.0737706
0.129422,1.82356,0.0737991
0.129422,1.81662,0.0738233
0.129422,1.80973,0.0738432
0.129422,1.8029,0.0738589
0.352566,1.79703,0.0737933
0.352566,1.79121,0.0737255
0.352566,1.78543,0.0736558
1.54163,1.78445,0.0733671
1.54163,1.78349,0.0730806
1.54163,1.78253,0.0727963
1.54163,1.78157,0.0725143
2.45531,1.78423,0.0722769
1.38999,1.78268,0.0720095
1.38999,1.78115,0.0717441
1.2408,1.77904,0.0714953
1.70601,1.77876,0.0712182
1.70601,1.77848,0.0709433
1.70601,1.7782,0.0706704
1.47423,1.77704,0.0704088
1.47423,1.77588,0.070149
1.47423,1.77473,0.0698912
1.55597,1.7739,0.0696309
1.55597,1.77308,0.0693725
1.55597,1.77227,0.069116
1.51621,1.77131,0.0688634
1.51621,1.77036,0.0686125
1.28391,1.76855,0.0683809
1.28391,1.76675,0.0681508
2.23996,1.7685,0.0679213
2.00606,1.76937,0.0676768
2.00606,1.77024,0.067434
2.00606,1.7711,0.067193
2.00343,1.77194,0.0669535
2.00343,1.77278,0.0667158
1.17271,1.77062,0.0665098
1.17271,1.76847,0.066305
1.17271,1.76633,0.0661014
1.17271,1.76421,0.065899
1.17271,1.76211,0.0656978
1.1205,1.75983,0.0655039
1.1205,1.75757,0.0653112
1.1205,1.75533,0.0651194
1.1205,1.7531,0.0649288
1.08321,1.75076,0.0647437
0.916524,1.74785,0.0645832
0.71113,1.74425,0.0644591
0.71113,1.74068,0.0643351
0.71113,1.73713,0.0642111
0.71113,1.7336,0.0640871
1.04554,1.73124,0.0639107
1.04554,1.7289,0.0637352
0.999089,1.72642,0.0635665
0.781454,1.72322,0.0634316
0.781454,1.72004,0.063297
1.15093,1.71812,0.0631126
1.15093,1.71622,0.0629292
1.54707,1.71565,0.062721
1.54707,1.71509,0.0625141
1.54707,1.71453,0.0623085
1.54647,1.71398,0.0621044
1.14079,1.71208,0.061928
0.97061,1.70964,0.0617721
0.753047,1.70651,0.0616491
1.50087,1.70584,0.0614509
2.33804,1.7079,0.061285
1.53602,1.70734,0.0610883
1.53602,1.70678,0.0608928
1.53602,1.70623,0.0606986
1.11836,1.70434,0.0605326
1.11836,1.70246,0.0603675
1.11836,1.7006,0.0602032
1.74006,1.70072,0.0600113
1.74006,1.70085,0.0598206
1.72021,1.70091,0.0596311
1.40547,1.69998,0.05945
1.40547,1.69905,0.05927
1.40547,1.69813,0.059091
1.20618,1.69659,0.0589261
0.691951,1.69346,0.0588256
1.15905,1.6918,0.0586661
1.15905,1.69015,0.0585075
1.15905,1.68852,0.0583496
0.772941,1.6857,0.058238
0.390512,1.68173,0.0581948
