x,y,z
-0.941072,-0.980539,-3.14229
1.70226,-0.721279,-2.82363
3.6448,-0.874924,-4.9249
3.28938,-0.848316,-6.01017
3.17212,-0.249025,-5.46316
2.20662,-3.26694,-7.00553
2.51185,-2.65906,-7.26729
1.73057,-1.77705,-7.6699
0.37627,-1.64282,-8.94312
-0.253934,-2.17963,-8.84481
-2.07281,-0.774905,-8.5335
-3.57227,-3.02497,-7.99061
-2.04962,-3.12882,-7.98001
-1.6721,-3.17333,-8.24982
-1.80423,-4.88002,-6.5851
-0.819569,-7.01641,-5.86449
-1.52169,-7.40882,-7.96166
-1.31434,-8.55307,-7.29718
0.388612,-10.0533,-5.53389
0.840216,-8.82762,-4.69811
1.05999,-7.86029,-5.30223
3.24543,-5.93242,-6.63514
0.605427,-6.24513,-7.19718
-2.0253,-4.64355,-7.11863
-1.34102,-2.53937,-5.99493
0.347821,0.247888,-4.50721
-0.414753,0.591111,-4.02936
0.0407664,0.616265,-3.79704
-2.26098,3.7007,-2.92668
-3.37199,5.64009,-3.5906
-4.31939,5.23332,-2.64921
-5.8524,2.83855,-2.1243
-5.69416,1.1908,-2.65686
-6.11266,-0.990655,-3.61451
-5.6273,0.190264,-6.81123
-3.79261,2.15812,-5.3748
-1.90156,3.06493,-5.3232
-3.47211,0.980338,-2.73543
-3.56653,-1.10681,-3.56482
-0.685079,-4.02021,-4.78269
-1.78881,-2.30685,-5.54792
-4.18872,-1.20503,-6.06233
-3.697,-1.32751,-4.72393
-3.06444,2.08234,-4.97823
-1.38397,-1.14034,-6.19352
-1.44763,-2.66706,-8.61249
-3.17058,-2.89786,-8.0198
-1.40459,-2.58816,-5.31512
-0.716004,-1.85975,-5.66818
-0.590806,-1.20468,-6.45873
0.932008,0.508554,-7.15556
1.80334,-1.34405,-6.63278
-0.0167279,1.00221,-8.07448
0.336793,-1.26646,-6.52565
1.46412,-2.1448,-7.64539
2.71666,-4.38913,-7.47431
3.50146,-2.23128,-8.23587
0.990238,-0.300514,-9.19067
-0.259051,-2.67642,-7.68372
-1.25073,-2.17171,-6.73841
-1.12567,-2.44436,-7.29139
-2.49039,-3.34297,-6.57406
-1.86854,-4.5572,-8.05481
-5.10254,-2.21363,-6.43775
-4.88959,-3.70142,-7.71315
-3.14832,-4.02054,-7.05364
-2.27198,-3.56613,-6.03266
-2.72276,-7.06593,-5.30572
-5.22364,-3.00033,-6.49292
-7.77056,-2.26296,-6.65179
-6.37405,-1.22302,-6.8375
-6.18565,3.31581,-8.11941
-3.53402,2.32225,-11.3959
-1.64393,1.7313,-9.85388
-4.26919,0.889499,-10.7077
-1.58338,1.41353,-13.4294
1.00017,0.397085,-13.597
2.94194,-2.77495,-13.1804
4.30807,-2.8933,-12.9039
2.84877,-1.21299,-12.6291
6.19323,-0.474072,-11.2555
4.60454,-0.150686,-12.3253
6.23496,-1.15933,-11.8956
4.7396,-1.28598,-12.7953
3.45819,-5.00131,-12.2396
4.32195,-2.35892,-12.2703
2.91782,0.558764,-9.9209
5.18705,-0.573098,-8.2591
2.93511,-0.783533,-9.40489
2.56735,-2.54537,-10.2826
2.11733,-3.18912,-11.0126
2.30268,-1.37848,-10.6278
2.38459,-1.95944,-7.26744
0.506551,-3.45144,-6.75252
-0.520975,-4.39803,-3.60257
-0.558652,-3.18249,-3.341
-0.433571,-3.83272,-6.01973
-0.941311,-3.0788,-3.58067
0.532049,-0.675644,-5.29821
2.338,-0.514906,-4.29483
2.29794,-1.56644,-7.43434
4.98059,-5.25234,-8.70063
3.67211,-3.49056,-9.56548
7.01035,-1.74279,-9.14421
7.29966,-4.96635,-6.72155
4.80837,-4.65167,-5.77675
2.82812,-5.02584,-5.02107
3.43715,-4.1533,-2.16706
2.55608,-5.32852,-3.2458
3.69353,-1.31883,-3.80172
2.25989,-0.769076,-2.80344
4.09551,-1.04946,-2.5595
3.77714,-2.4801,-2.70771
4.70103,-0.462182,-2.05488
6.25737,-2.41211,-3.23923
5.49777,-2.07461,-3.79536
4.58277,-3.67373,-2.00382
2.83704,-0.830541,-2.48619
-1.92414,-0.488016,-2.9422
-2.57257,-1.24805,-3.30743
-2.00567,0.0324699,-2.97993
-1.7634,-1.97031,-4.74535
-0.00374543,-2.69756,-3.78789
0.218509,-3.20494,-3.89354
0.119094,-4.40484,-3.42334
0.479304,-3.32221,-1.27473
-0.564163,-2.87463,1.64292
-4.0424,-2.23172,1.55937
-1.74273,-3.28565,3.61879
-3.05279,-3.42526,5.02051
-0.225027,-2.72443,5.06666
-0.979122,-1.23167,7.50022
0.633584,-1.83225,5.88885
2.49123,-0.435957,6.97725
0.500695,-1.48032,6.8727
0.669522,3.24214,4.15038
3.26239,-1.32383,2.49405
2.8096,-1.50519,4.76903
0.338461,-1.07313,4.99298
0.533552,-1.6506,3.9386
0.674335,-1.5306,3.44111
0.603353,-3.34211,2.41137
0.55357,-1.23077,3.16555
0.257931,-0.766801,2.92663
2.61458,-0.0254756,2.00811
1.89726,-0.765687,3.70439
0.240996,-1.12259,2.17523
0.496516,0.80374,3.94454
-0.00881363,0.540287,3.52117
-2.13313,-2.4861,3.22045
0.0321072,-2.16445,4.75935
3.42671,1.44073,4.30039
2.56629,-0.526995,5.51764
1.6866,-0.600096,4.77699
1.96427,-1.93332,3.56612
1.77975,-0.893902,2.18048
2.01274,0.723271,4.03319
1.68372,-0.869204,5.10644
-0.134803,0.428644,4.55786
0.0846384,0.667616,5.99312
-1.52512,3.81296,3.86392
-0.717822,3.63389,3.06607
-1.1526,2.48763,2.90142
0.446185,4.75178,5.31099
1.46522,1.60008,4.84892
0.333678,3.21557,4.24165
-0.774804,4.09857,4.65432
0.126677,2.59986,5.0976
-1.15762,0.690029,3.42816
-0.77218,-0.841435,3.77586
0.147581,1.97614,4.74976
-0.217039,1.18888,4.10787
-0.853138,0.998464,2.1186
1.10923,0.643993,0.854842
1.74577,0.422271,0.982252
0.524948,-0.057652,1.81049
-3.05885,0.968375,3.27143
-3.78191,2.88771,3.84844
-4.15195,0.530938,2.22843
-2.70226,2.14813,1.78331
-1.71354,-1.74304,1.71919
-0.735011,-0.467747,4.31514
-1.75962,-0.279497,3.12818
-3.11824,-2.25645,2.96809
-0.641266,-1.62279,6.57329
-0.133381,0.00982052,2.63946
0.584582,0.881395,0.450695
-0.292354,0.855647,-1.1819
1.20303,2.47416,-2.79442
1.67676,0.851526,-1.62103
0.145712,0.357297,-0.351493
-0.243481,-1.15033,1.06445
-2.148,-2.88229,2.41631
-1.79858,-1.50228,-1.15306
-2.45048,-1.97327,-3.92816
-2.80104,-0.279672,-3.49786
-2.1814,1.40914,-6.88619
-2.5244,2.49106,-5.10576
-4.3129,-0.244385,-5.40425
-2.78023,-0.67451,-5.45519
-3.67394,-1.95577,-3.04915
-1.32607,-3.42563,-3.22543
-2.4828,-3.65254,-5.0242
-0.294232,-4.22338,-5.57571
0.953499,-3.97729,-6.61756
-0.511088,-3.31811,-3.31277
-1.04672,-2.93674,-5.30938
-1.25976,-1.03165,-5.88084
-3.02815,-2.93417,-3.13874
-4.40446,0.198701,-2.42343
-5.02158,2.03974,-2.32281
-4.43734,0.377474,-4.21594
-5.64028,-0.6784,-3.39168
-5.33427,-0.65991,-3.16375
-5.17155,0.252918,-5.56788
-4.2339,1.00087,-4.47219
-3.57308,2.9165,-5.09927
-3.55695,1.62554,-6.16794
-2.99103,1.49536,-7.64717
-3.82557,2.12854,-5.18426
-3.86282,2.79983,-3.04496
-3.44444,3.70288,-4.70944
-1.39217,3.18611,-2.13802
0.53867,1.11226,-3.5408
0.491403,1.11384,-1.97767
-0.567554,0.906905,0.776662
0.53133,-0.379258,-2.93007
2.88308,-1.4384,-4.05302
4.16368,-2.10965,-4.34235
4.20621,-1.18202,-4.75427
2.02588,-3.02942,-3.83296
-0.132602,-0.195794,-1.41495
-0.809718,0.455365,-1.27351
1.92543,-0.0992401,-2.10114
-2.29838,0.259784,-2.57241
-1.86647,2.93275,-2.6193
0.759827,2.01687,-4.3971
0.854805,1.40003,-6.02388
0.930711,-0.092584,-5.49544
-0.0808766,-0.704999,-5.18149
0.941052,2.29122,-2.86004
2.2676,1.49479,-3.58577
1.00162,0.93984,-2.31937
0.838285,-0.638448,-3.13315
-0.811841,-1.18067,-3.16074
0.114057,-0.4011,-4.39541
-0.599424,1.03051,-2.36979
-0.0476751,1.81248,-1.8728
-1.84925,2.9314,-1.63035
0.483161,-2.38101,1.73675
2.647,1.65336,2.29609
0.637164,3.46485,2.25697
2.76295,1.36067,3.43259
2.78693,0.278288,6.19375
1.50661,-1.01848,7.22301
0.302548,-0.436511,4.51985
0.697504,-1.09126,2.77908
0.258938,-0.223032,2.31912
-0.452896,-0.0201166,1.4847
1.84503,1.80186,2.73247
-0.251683,0.292768,2.08849
0.773713,1.51505,3.03673
-2.3043,-0.850187,3.89847
-2.61762,-2.42099,5.24265
-4.22066,-0.683537,4.36103
-3.59549,-1.51428,3.42452
-5.27691,-1.64889,4.27376
-4.33756,-2.6814,5.29392
-3.49971,-0.941639,4.95244
-2.06802,0.0745661,5.12074
-3.95429,-2.46951,4.44948
-3.9363,-0.637881,4.21042
-5.25916,-1.00674,8.63729
-5.75569,0.585632,7.91654
-6.74997,1.2543,7.3883
-6.93703,0.803055,4.5131
-6.32757,-0.146044,6.29985
-7.68124,-1.07223,5.66814
-6.34116,-1.05113,4.46557
-6.5268,-2.38599,2.56605
-4.80422,-4.51305,3.27775
-6.98387,-4.86454,3.98543
-6.25849,-5.46774,7.4748
-7.00116,-2.33945,7.79872
-8.60408,-1.23372,7.32518
-5.4691,-0.658707,6.55243
-3.99278,-0.596101,5.93
-5.9895,2.06052,3.47467
