x,y,z
0.779627,0.177549,0.230036
0.132676,1.18443,0.191222
0.181186,0.656979,0.741885
1.33792,-0.501657,0.61199
0.680682,-1.31662,0.496796
1.47993,-2.15514,-0.540001
1.41098,-1.66743,0.268797
2.56573,-2.81516,-0.603613
3.38863,-1.6951,-1.22254
2.38449,-1.20105,-0.490831
2.98979,-1.20597,0.225681
2.08677,-0.488091,1.16959
0.916965,0.51835,1.45277
1.52949,0.77483,1.35851
1.01576,0.626676,1.56022
-0.0110545,1.66496,0.469059
-0.73666,1.25153,1.14495
-1.07445,1.37342,1.00512
-1.96117,0.460266,-0.0372531
-1.8134,0.0395856,-0.992058
-1.35026,-1.07851,-1.6267
-1.94259,-0.00692617,-1.9836
-2.82813,0.554029,-1.04322
-1.64595,0.702541,-1.9873
-1.32278,1.39857,-0.973758
-0.602873,0.812752,-1.98945
0.579044,0.236772,-2.69536
-0.255635,0.161017,-2.51292
0.0656844,-0.570603,-2.31526
-0.000170678,0.460952,-2.27869
-0.532434,0.148098,-3.36905
0.237195,0.516875,-2.274
-0.622917,1.72772,-1.26444
0.385306,0.5103,-1.05999
-0.61293,0.124861,0.045604
0.507652,0.138017,0.846178
0.917177,0.248765,0.937327
0.22708,-0.517335,1.35328
-0.601861,-1.01034,0.89217
-0.602083,-0.629588,0.833539
0.262059,-0.178699,0.0566383
-0.0203348,-0.610045,-0.255506
0.402262,-0.690552,-0.60354
-0.721941,-0.0242291,0.596894
-0.0030294,1.08649,0.33304
0.749138,1.00861,-0.0641578
1.38178,0.860868,-0.281218
0.454879,0.606222,0.0160781
1.27508,0.823261,-0.838104
1.14916,0.503598,0.129614
0.754515,1.56891,0.87978
0.470655,1.37161,1.4728
1.69151,1.24694,1.15766
2.14332,1.86621,1.89004
1.29957,1.34755,2.57121
1.89419,2.09444,1.82315
3.01503,1.8289,1.5276
3.04069,2.02757,1.26478
2.47814,1.64615,2.37759
2.34696,2.53594,2.2688
1.17749,2.61518,2.82116
1.84836,2.88094,1.91174
1.36741,2.59262,2.75296
2.29121,1.40366,2.27083
1.93774,0.380028,1.69796
2.0507,-0.158895,2.06528
1.95916,-0.236211,0.930626
0.820383,-0.42935,1.01494
0.522204,-0.654146,0.73642
0.337947,0.408446,0.914622
0.0159107,-0.709409,-0.0780502
0.610975,-1.53126,0.0473754
0.912628,-0.70376,-0.241503
0.835499,-0.314672,-0.906479
0.316258,0.51985,-0.119621
-0.566846,-0.46472,0.984145
-1.28673,-0.0923661,0.87612
-1.51894,0.951561,0.264719
-1.45072,0.164257,0.352074
-0.317721,-0.506023,-0.480234
-0.37795,-0.967218,0.386604
-0.129859,-0.692283,0.907147
-0.548919,-0.386984,0.161203
-0.648116,-0.204539,1.22056
-1.12621,-0.394477,1.87283
-0.354584,-0.900307,2.07399
-0.62376,-1.00357,1.85377
-1.56419,-0.315726,1.1683
-2.19405,0.212121,1.40663
-2.48608,1.24085,0.893751
-1.94454,0.249644,1.01402
-0.77882,1.26624,0.283173
0.0723213,1.73494,0.976039
1.0276,1.24653,1.38057
0.351469,0.21853,2.06531
1.10657,0.97999,1.66437
0.423272,0.958669,1.79041
1.5268,0.473925,0.588634
0.869191,0.0538976,0.424427
0.134505,1.07437,1.60786
-0.330882,1.25481,0.52497
-0.0530141,0.617681,1.45915
0.405325,-0.421084,1.1328
-0.697216,-0.0353612,1.33629
0.284535,0.444566,0.213096
0.131133,-0.709649,0.1404
-0.667895,0.3567,0.585962
0.425908,1.48943,1.57054
-0.706915,1.15205,2.03988
-0.0480211,0.9179,2.2918
-0.0106224,-0.248126,2.71541
-0.958758,0.509923,3.30994
-1.70793,-0.410792,2.48177
-0.83234,0.750786,3.15051
-0.137458,0.309437,2.15849
0.70137,1.44932,1.07648
0.986308,0.76918,0.0573027
0.594798,-0.406339,0.230072
0.772269,0.159235,1.07435
1.54589,-0.0840859,-0.146126
1.29542,0.882882,-0.0663625
0.790964,-0.141981,1.11562
-0.333193,0.378718,1.06739
0.596108,1.40227,1.82595
0.163,2.11802,1.45795
-0.115129,1.38523,1.49165
1.02654,1.38808,1.65667
1.04876,1.08996,1.71892
0.949207,-0.00529915,2.14135
-0.183667,-0.0328389,2.02408
0.463541,0.41622,1.99222
0.0920231,-0.329569,0.92569
0.12638,-1.03828,0.00824195
-0.745457,-0.959612,0.389848
-0.791951,-0.305353,0.435124
-0.566096,-0.042778,0.719098
-0.0926701,0.342983,1.34132
0.930877,-0.173299,0.932686
0.856091,-0.861275,0.691765
1.16247,-0.263262,-0.402739
1.04962,-0.967965,-0.519863
1.54497,-0.901693,-0.810316
1.31866,-0.210095,-0.431807
0.422966,-1.00875,-0.138429
-0.323722,-0.362288,-0.709596
-0.179295,-0.251571,-0.227135
-0.159345,0.439097,0.115939
0.456207,0.827078,0.592004
0.632913,0.345646,-0.366308
0.320194,0.182908,0.551172
0.0108081,-1.01413,0.879373
-0.422668,-0.0919792,0.899203
0.184673,-0.906071,1.0218
0.191766,-0.102957,1.19205
0.426024,0.0517636,0.522642
-0.413779,-0.390001,0.501631
-0.471377,0.248451,1.37686
-0.0924265,-0.889891,0.672406
-0.667369,-0.596656,1.09018
-0.321388,0.54899,0.376991
0.0940266,-0.258894,0.648487
0.113019,-0.260285,0.978527
0.126742,0.304544,0.728979
0.0974196,-0.0800104,0.485276
0.212023,0.0589053,0.699103
1.24378,-0.711234,0.635146
0.934998,-0.983303,1.00034
1.33994,-1.5628,-0.212235
0.802493,-1.61209,-0.226205
1.88107,-0.973967,-0.022917
1.23926,-1.64495,0.484608
1.62674,-1.61467,-0.380521
1.40145,-2.08017,0.373502
1.36824,-0.891367,-0.810677
1.32354,-0.369853,0.0535223
0.581037,-1.33622,0.461588
0.0365227,-1.0428,-0.259537
-0.0356061,-0.21287,-1.09105
0.462658,0.936135,-0.554492
0.355947,1.72955,-1.04027
-0.541648,0.673992,-1.16171
-1.66413,0.819641,-1.33062
-1.68751,0.543544,-0.162013
-1.62059,0.131699,0.463439
-0.923303,1.10003,-0.29042
-1.03111,1.25007,-0.358694
-0.883986,2.43135,0.632695
-1.58017,1.72031,0.684886
-1.03585,1.61648,0.585374
0.176354,1.48063,0.706271
0.593277,0.625077,-0.31092
-0.375527,0.369856,-0.166147
-0.506431,0.198795,-0.444303
-0.262867,-0.303468,-0.922192
0.0292408,-1.14067,-0.499664
0.698479,0.0146509,-0.117113
-0.00229111,0.463954,0.810491
-0.108572,1.00577,-0.318982
-0.420361,0.546568,0.579953
-1.01084,0.10467,0.302555
-0.162026,-0.742428,0.622732
0.121364,0.0576743,0.787498
1.18795,0.294741,-0.307305
0.773055,-0.113541,-0.277931
1.25167,0.45797,-0.023919
0.256354,0.487536,0.340498
0.0663036,-0.556783,0.0141066
0.842475,-0.623791,0.407276
1.69646,0.119393,-0.384394
0.914068,-0.842993,-1.53219
1.43522,-1.38605,-1.06416
1.67249,-0.263054,-1.12849
0.617123,-0.44994,-1.74306
1.24743,-0.761614,-1.78312
0.243466,-0.565981,-2.30896
0.599641,0.114723,-2.26851
0.811609,0.170879,-1.47671
-0.169032,-0.5754,-0.766089
0.746342,-0.565093,-0.23447
1.05932,0.308694,0.689688
0.243444,0.53844,1.49208
1.4547,0.452952,2.49726
2.12648,0.763687,1.92235
1.21987,0.00772391,1.54854
1.38111,-1.20051,1.3111
1.87995,-1.3623,0.938113
1.29251,-0.436204,1.88173
1.24208,0.412263,0.664853
0.884813,-0.596869,0.272543
-0.312914,0.379547,-0.58195
0.00868185,1.28849,0.263534
-0.762859,0.896993,0.337177
-1.68133,0.919335,0.756812
-1.12107,0.613986,0.379443
-1.922,-0.43668,1.0424
-1.81578,-0.0376286,0.0728335
-2.14218,-0.122046,0.0245885
-2.51251,0.543456,-0.588311
-1.50182,-0.474376,0.624508
-0.977949,0.217777,1.30317
-0.350675,-0.620904,0.938588
-0.751937,0.457945,0.113267
0.42035,-0.201241,0.974976
0.885722,-0.885103,1.79347
1.49205,-0.0646029,1.43643
1.34909,-0.201149,1.34148
1.53544,-0.0554185,1.26568
0.394775,-0.139965,1.47236
-0.650016,0.609419,0.535825
-0.359202,-0.152684,-0.200972
-0.946161,0.63679,0.849688
-0.540222,0.221367,1.24127
-0.939116,0.0146273,0.952561
-0.603495,0.505393,-0.0934219
-0.294609,1.04908,-0.868729
-0.802786,0.378752,-1.11989
-1.39996,-0.403933,-0.286875
-0.982487,-0.448666,0.650273
-0.80025,-1.14131,-0.184836
-0.508461,-0.174324,0.712549
-0.424523,-0.609376,-0.0659883
-0.892358,-0.272343,0.573757
-1.64523,0.236215,0.325882
-1.70897,0.0285495,0.476881
